time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,1,1,0
53,0,0,0,0,0,2,1,0
79,0,0,0,0,0,3,1,0
99,0,0,0,0,0,4,1,0
132,0,0,0,0,0,5,1,0
164,0,0,0,0,0,4,1,1
176,0,0,0,0,0,5,1,1
204,0,0,0,0,0,6,1,1
227,0,0,0,0,0,7,1,1
252,0,0,0,0,0,8,1,1
282,0,0,0,0,0,9,1,1
285,0,0,0,0,0,8,1,2
311,0,0,0,0,0,9,1,2
337,0,0,0,0,0,10,1,2
363,0,0,0,0,0,11,1,2
401,0,0,0,0,0,12,1,2
406,0,0,0,0,0,11,1,3
434,0,0,0,0,0,12,1,3
471,0,0,0,0,0,13,1,3
504,0,0,0,0,0,14,1,3
531,0,0,0,0,0,15,1,3
532,0,0,0,0,0,14,1,4
554,0,0,0,0,0,15,1,4
583,0,0,0,0,0,16,1,4
611,0,0,0,0,0,17,1,4
645,0,0,0,0,0,18,1,4
680,0,0,0,0,0,19,1,4
707,0,0,0,0,0,20,1,4
733,0,0,0,0,0,21,1,4
761,0,0,0,0,0,22,1,4
762,0,0,0,0,0,21,1,5
793,0,0,0,0,0,22,1,5
827,0,0,0,0,0,23,1,5
861,0,0,0,0,0,24,1,5
892,0,0,0,0,0,25,1,5
918,0,0,0,0,0,26,1,5
944,0,0,0,0,0,27,1,5
973,0,0,0,0,0,28,1,5
1008,0,0,0,0,0,29,1,5
1042,0,0,0,0,0,30,1,5
1067,0,0,0,0,0,31,1,5
1100,0,0,0,0,0,32,1,5
1130,0,0,0,0,0,31,1,6
1139,0,0,0,0,0,32,1,6
1165,0,0,0,0,0,33,1,6
1194,0,0,0,0,0,34,1,6
1223,0,0,0,0,0,35,1,6
1248,0,0,0,0,0,36,1,6
1251,0,0,0,0,0,35,1,7
1274,0,0,0,0,0,36,1,7
1315,0,0,0,0,0,37,1,7
1347,0,0,0,0,0,38,1,7
1381,0,0,0,0,0,39,1,7
1414,0,0,0,0,0,40,1,7
1431,0,0,0,0,0,39,1,8
1447,0,0,0,0,0,40,1,8
1471,0,0,0,0,0,41,1,8
1499,0,0,0,0,0,42,1,8
1537,0,0,0,0,0,43,1,8
1580,0,0,0,0,0,44,1,8
1612,0,0,0,0,0,45,1,8
1620,0,0,0,0,0,44,1,9
1644,0,0,0,0,0,45,1,9
1676,0,0,0,0,0,46,1,9
1701,0,0,0,0,0,47,1,9
1729,0,0,0,0,0,48,1,9
1745,0,0,0,0,0,47,1,10
1750,0,0,0,0,0,48,1,10
1779,0,0,0,0,0,49,1,10
2281,0,0,0,0,0,48,1,11
2404,0,0,0,0,0,47,1,12
2525,0,0,0,0,0,46,1,13
2646,0,0,0,0,0,45,1,14
2798,0,0,0,0,0,44,1,15
2919,0,0,0,0,0,43,1,16
3060,0,0,0,0,0,42,1,17
3181,0,0,0,0,0,41,1,18
3302,0,0,0,0,0,40,1,19
3423,0,0,0,0,0,39,1,20
3544,0,0,0,0,0,38,1,21
3666,0,0,0,0,0,37,1,22
3929,0,0,0,0,0,36,1,23
4138,0,0,0,0,0,35,1,24
4296,0,0,0,0,0,34,1,25
4417,0,0,0,0,0,33,1,26
6217,0,0,0,0,0,32,1,27
6347,0,0,0,0,0,31,1,28
6468,0,0,0,0,0,30,1,29
6590,0,0,0,0,0,30,0,30
