time,cpu0
0
30
53
79
99
132
164
176
204
227
252
282
285
311
337
363
401
406
434
471
504
531
532
554
583
611
645
680
707
733
761
762
793
827
861
892
918
944
973
1008
1042
1067
1100
1130
1139
1165
1194
1223
1248
1251
1274
1315
1347
1381
1414
1431
1447
1471
1499
1537
1580
1612
1620
1644
1676
1701
1729
1745
1750
1779
2281
2404
2525
2646
2798
2919
3060
3181
3302
3423
3544
3666
3929
4138
4296
4417
6217
6347
6468
6590
