time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
164,0,1,0,0,164,164,164,164,0,0,0
180,2,2,53,53,180,127,127,127,0,0,0
200,3,1,79,79,200,121,121,121,0,0,0
297,6,1,176,176,297,121,121,121,0,0,0
328,7,2,204,204,328,124,124,124,0,0,0
378,9,1,252,252,378,126,126,126,0,0,0
483,8,2,227,328,483,155,256,155,101,0,0
527,10,1,282,297,527,230,245,230,15,0,0
614,12,2,337,483,614,131,277,131,146,0,0
648,14,1,401,527,648,121,247,121,126,0,0
746,11,1,311,378,746,368,435,368,67,0,0
773,19,1,554,648,773,125,219,125,94,0,0
794,15,1,434,614,794,180,360,180,180,0,0
803,18,1,531,614,803,189,272,189,83,0,0
896,22,1,645,773,896,123,251,123,128,0,0
915,25,1,733,794,915,121,182,121,61,0,0
924,26,1,761,803,924,121,163,121,42,0,0
1036,29,1,861,915,1036,121,175,121,54,0,0
1048,28,1,827,896,1048,152,221,152,69,0,0
1065,30,1,892,924,1065,141,173,141,32,0,0
1157,31,1,918,1036,1157,121,239,121,118,0,0
1169,33,1,973,1048,1169,121,196,121,75,0,0
1221,37,1,1100,1100,1221,121,121,121,0,0,0
1282,20,1,583,746,1282,536,699,536,163,0,0
1286,39,1,1165,1165,1286,121,121,121,0,0,0
1316,40,1,1194,1194,1316,122,122,122,0,0,0
1473,44,1,1315,1315,1473,158,158,158,0,0,0
1491,43,1,1274,1282,1491,209,217,209,8,0,0
1502,46,1,1381,1381,1502,121,121,121,0,0,0
1511,42,1,1248,1248,1511,263,263,263,0,0,0
1624,17,2,504,1502,1624,122,1120,122,998,0,0
1667,51,1,1537,1537,1667,130,130,130,0,0,0
1750,21,2,611,1624,1750,126,1139,126,1013,0,0
1788,53,1,1612,1667,1788,121,176,121,55,0,0
1871,38,2,1139,1750,1871,121,732,121,611,0,0
1910,59,1,1779,1788,1910,122,131,122,9,0,0
1994,41,2,1223,1871,1994,123,771,123,648,0,0
2115,45,2,1347,1994,2115,121,768,121,647,0,0
2248,56,2,1701,2115,2248,133,547,133,414,0,0
3273,49,1,1471,1473,3273,1800,1802,1800,2,0,0
3394,4,4,99,3273,3394,121,3295,121,3174,0,0
3537,16,4,471,3394,3537,143,3066,143,2923,0,0
3658,24,4,707,3537,3658,121,2951,121,2830,0,0
3779,35,4,1042,3658,3779,121,2737,121,2616,0,0
3902,36,4,1067,3779,3902,123,2835,123,2712,0,0
4028,50,4,1499,3902,4028,126,2529,126,2403,0,0
4149,52,4,1580,4028,4149,121,2569,121,2448,0,0
4320,54,4,1644,4149,4320,171,2676,171,2505,0,0
4448,57,4,1729,4320,4448,128,2719,128,2591,0,0
4570,58,4,1750,4448,4570,122,2820,122,2698,0,0
