time,cpu0
0
30
53
79
99
132
164
176
180
200
204
227
252
282
297
311
328
337
363
378
401
434
471
483
504
527
531
554
583
611
614
645
648
680
707
733
746
761
773
793
794
803
827
861
892
896
915
918
924
944
973
1008
1036
1042
1048
1065
1067
1100
1139
1157
1165
1169
1194
1221
1223
1248
1274
1282
1286
1315
1316
1347
1381
1414
1447
1471
1473
1491
1499
1502
1511
1537
1580
1612
1624
1644
1667
1676
1701
1729
1750
1779
1788
1871
1910
1994
2115
2248
3273
3394
3537
3658
3779
3902
4028
4149
4320
4448
4570
