time,gpu0,gpu1,gpu2,gpu3,gpu4,gpu5,gpu6,gpu7,gpu8,gpu9,gpu10,gpu11,gpu12,gpu13,gpu14,gpu15,gpu16,gpu17,gpu18,gpu19,gpu20,gpu21,gpu22,gpu23,gpu24,gpu25,gpu26,gpu27,gpu28,gpu29,gpu30,gpu31,gpu32,gpu33,gpu34,gpu35,gpu36,gpu37,gpu38,gpu39,gpu40,gpu41,gpu42,gpu43,gpu44,gpu45,gpu46,gpu47,gpu48,gpu49,gpu50,gpu51,gpu52,gpu53,gpu54,gpu55,gpu56,gpu57,gpu58,gpu59,gpu60,gpu61,gpu62,gpu63,gpu64,gpu65,gpu66,gpu67,gpu68,gpu69,gpu70,gpu71,gpu72,gpu73,gpu74,gpu75,gpu76,gpu77,gpu78,gpu79,gpu80,gpu81,gpu82,gpu83,gpu84,gpu85,gpu86,gpu87,gpu88,gpu89,gpu90,gpu91,gpu92,gpu93,gpu94,gpu95,gpu96,gpu97,gpu98,gpu99,gpu100,gpu101,gpu102,gpu103,gpu104,gpu105,gpu106,gpu107,gpu108,gpu109,gpu110,gpu111,gpu112,gpu113,gpu114,gpu115,gpu116,gpu117,gpu118,gpu119,gpu120,gpu121,gpu122,gpu123,gpu124,gpu125,gpu126,gpu127,gpu128,gpu129,gpu130,gpu131,gpu132,gpu133,gpu134,gpu135,gpu136,gpu137,gpu138,gpu139,gpu140,gpu141,gpu142,gpu143,gpu144,gpu145,gpu146,gpu147,gpu148,gpu149,gpu150,gpu151,gpu152,gpu153,gpu154,gpu155,gpu156,gpu157,gpu158,gpu159
0
30
53
79
99
132
164
176
177
180
200
204
220
227
252
270
282
297
311
328
337
363
378
382
401
434
468
471
504
512
522
531
554
559
583
611
614
626
645
679
680
707
720
733
737
761
768
793
801
827
828
854
861
882
892
914
918
944
973
979
982
1008
1033
1039
1042
1067
1069
1094
1100
1119
1139
1163
1165
1190
1194
1221
1223
1248
1260
1274
1286
1313
1315
1316
1346
1347
1381
1414
1447
1468
1471
1473
1483
1499
1502
1511
1535
1537
1573
1580
1612
1625
1644
1667
1676
1701
1729
1733
1750
1779
1811
1815
1834
1857
1872
1901
3271
