time,cpu0
0
30
53
79
99
132
176
204
227
252
282
311
337
363
401
434
471
504
531
554
583
611
645
680
707
733
761
793
827
861
892
918
944
973
1008
1042
1067
1100
1139
1165
1194
1223
1248
1274
1315
1347
1381
1414
1447
1471
1499
1537
1580
1612
1644
1676
1701
1729
1750
1779
